Party,Expanded_Party_Name
INC,INDIAN NATIONAL CONGRESS
CPI,COMMUNIST PARTY OF INDIA
SOC,SOCIALIST
PSP,PRAJA SOCIALIST PARTY
IND,INDEPENDENTS
REP,REPUBLICAN
PWP,PEASANT'S & WORKERS' PARTY
BJS,BHARATIYA JAN SANGH
SSP,SANGHATA SOCIALIST PARTY
RPI,REPUBLIC PARTY OF INDIA
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
SOP,SAMYUKTA SOCIALIST PARTY/SOCIALIST PARTY
RPK,REPUBLICAN PARTY OF INDIA (KHOBRAGADE GROUP)
SHS,SHIV SENA
MUL,INDIAN UNION MUSLIM LEAGUE
FBL,ALL INDIA FORWARD BLOC
BKD,BHARATIYA KRANTI DAL
JNP,JANATA PARTY
INC(I),INDIAN NATIONAL CONGRESS (I)
JNP(JP),JANATA PARTY (JP)
BJP,BHARATIYA JANATA PARTY
INC(U),INDIAN NATIONAL CONGRESS (U)
ICS,INDIAN CONGRESS (SOCIALIST)
JD,JANATA DAL
ICS(SCS),INDIAN CONGRESS (SOCIALIST-SARAT CHANDRA SINHA)
SJP(M),SAMAJWADI JANATA PARTY (MAHARASHTRA)
SP,SAMAJWADI PARTY
NVPP,NATIVE PEOPLE'S PARTY
MVC,MAHARASHTRA VIKAS CONGRESS
NVAS,NAG VIDARBHA ANDOLAN SAMITI
NCP,NATIONALIST CONGRESS PARTY
JD(S),JANATA DAL (SECULAR)
ABHS,AKHIL BHARATIYA SENA
PWPI,PEASANTS AND WORKERS PARTY OF INDIA
BBM,BHARIPA BAHUJAN MAHASANGH
STBP,SWATANTRA BHARAT PAKSHA
GGP,GONDVANA GANTANTRA PARTY
AIMIM,ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN
RSPS,RASHTRIYA SAMAJ PAKSHA
RPI(A),REPUBLICAN PARTY OF INDIA (A)
JSS,JAN SURAJYA SHAKTI
LKSGM,LOKSANGRAM
MNS,MAHARASHTRA NAVNIRMAN SENA
SWP,SWABHIMANI PAKSHA
BVA,BAHUJAN VIKAS AAGHADI
